NO.,CD,APN,Cnt_APN,ADDRESS,INTERSECTION,"LAND ""SQFT""",ACCESS,ZONING,TBpg,Topography,TYPE,STATUS,SOURCE OF FUNDS,est $/SF 3/08,Formula  3/08,"CLASS ""C"" 3/08",Remarks by Appraisal,Field_Checked,PHASE,SYNOPSIS COMMENTS
184,14,5186015902,1,,Lorena St./6th St.,543.98,Yes,C2-1,635-B6,Hillside,SF,Entire side yard,,,0,"$1,650 ",Generally rectangular.,Yes,2,
185,14,5213024902,1,Across from 4477 Huntington Drive,Kenneth Dr./Huntington Dr. S.,249.06,Yes,RD1.5-1,595-C6,Hillside,SF,Entire side yard,,,0,$750 ,Generally rectangular.,Yes,2,
186,14,5213037901,1,4827 Converse Street,Converse St./Eastern Ave.,2100,Yes,R1-1,595-E6,Hillside,SF,Entire side yard,,,0,"$6,300 ",Generally rectangular.,Yes,2,
187,14,5214023900,1,,Richelieu Terr./Richelieu Ave.,608.55,Yes,R1-1,595-E7,Hillside,SF,Entire side yard,,,0,"$1,825 ",Generally rectangular.,Yes,2,
188,14,5683013900,1,922 Oscela,Plumas/ Osceola,1950,Yes,R1-1,564-G6,Hillside,SF,Entire side lot line,,3,5850,"$6,000 ",Generally rectangular.,Yes,1,
189,14,5683021900,1,Adjecent to 4888 Round Top Drive,Round Top Dr./Yosemite Way,1052.87,Yes,R1-1,564-J6,Hillside,SF,Entire front lot line,,1,1053,"$1,000 ",Irregular.,Yes,1,
190,14,5689030900,2,2188 Yosemite Drive,Yosemite Dr./Townsend Ave.,1940,Yes,[Q]C1-1XL,565-B6,Hillside,SF,Side lot,,20,38800,"$40,000 ",Irregular.,No,1,
191,14,5312028901,1,,Monterey Rd./Pine Crest Dr.,2676.61,Yes,R1-1,595-E2,Hillside,SR,Land locked - Trees,,,0,"$8,050 ",Irregular.,No,2,
192,14,5167005900,1,,Santa Fe Ave./Butte St.,5227,Yes,M3-1,674-H2,Level,SR,Vacant Lot with rail road tracks,,10,52270,"$52,000 ",Irregular.,No,3,
193,14,5473015900,1,,York Blvd./Ave. 42,337.63,Yes,R1-1,564-J7,Hillside,SR,Side yard,,3,1013,"$1,000 ",Triangular.,Yes,1,
194,14,5484004900,1,,Aldama St./Meridian St.,68,Yes,R1-1,595-C1,Hillside,SR,Backyard of Property,,,0,$75 ,Generally rectangular.,No,2,
195,14,5689004900,1,,Tenshaw Pl./La Roda Ave.,689.41,Yes,R1-1,565-B6,Hillside,SR,rear lot line,,3,2068,"$2,000 ",Generally rectangular.,No,1,
196,14,5689031908,1,,Oak Grove Dr./Townsend Ave.,465.61,Yes,R1-1,565-B6,Hillside,SR,Rear lot line,,1,466,$450 ,Irregular.,No,1,
197,15,7465006900,1, 1670 Palos Verdes,Grand Ave./24th St.,2409.25,Yes,OS-1XL,824-B7,Hillside,SF,Sliver of Land,,3,7228,"$7,500 ",Possible part of City cemetary.  Triangular.,Yes,3,Harbor View Cemetary <40' X 123' triangle>
198,15,6070008900,1,1551 E. 111th Street,111th St./Compton Ave.,749.85,Yes,R2-1,704-F5,Level,SF,Entire sied yard,,5,3749,"$4,000 ",Generally rectangular.,Yes,3,
199,15,6108007900,1, 1526 184th Street,184th St./Dalton Ave.,15,Yes,R1-1,763-J2,Level,SF,Sliver at front of property,,3,45,$50 ,Generally rectangular.,Yes,3,
200,15,6121003901,1,,169th St./Figueroa St.,13.63,Yes,R1-1,734-B7,Level,SF,Sliver at front of property,,3,41,$50 ,Irregular.,Yes,3,
201,15,7416001900,1,,Figueroa St./Arabic St.,405.41,Yes,R1-1XL-O,794-C6,Level,SF,Entire side yard,,3,1216,"$1,200 ",Irregular.,Yes,3,
202,15,7418013900,1,545 Broad,E St./Avalon Blvd.,467.05,Yes,[Q]CM-1VL-O,794-E7,Level,SF,Entire side yard,,10,4671,"$5,000 ",Irregular.,Yes,3,
